age_band_id,age_band_label,min_months,max_months,age_band_is_active,stage1_wrapper_ux_slug,stage1_wrapper_ux_label,stage1_wrapper_rank_in_band,stage1_mapping_is_active,development_need_slug,development_need_canonical_name,stage1_why_it_matters_ux_description,stage2_category_type_slug,stage2_category_type_label,stage2_category_type_name,stage2_play_ideas_rank,stage2_play_idea_mapping_rationale,stage3_product_name,stage3_product_brand,stage3_product_rank_in_category,stage3_product_mapping_rationale,optional_need_meta_stage_anchor_month,optional_need_meta_stage_phase,optional_need_meta_stage_reason,optional_category_image_url,optional_category_safety_notes,ref_ux_wrapper_uuid,ref_development_need_uuid,ref_category_type_uuid,ref_product_uuid
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,Fisher-Price Little People Farm Animal Friends Figure Pack,Fisher-Price,1,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Encourages imaginative play and learning about farm animals. | Encourages imaginative play and learning about farm animals.,27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,8f571992-0905-4215-a9bf-9cb504e6d433
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,"John Lewis Medium Bear, H30cm",John Lewis,2,"Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Classic soft toy, provides comfort and encourages imaginative play. | Classic soft toy, provides comfort and encourages imaginative play.",27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,9597c26e-b486-4acc-b04b-6433c6695200
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,"Steiff Gin Snake Plush Soft Toy, Green/Multi",Steiff,3,"Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Unique animal plush, encourages imaginative play. | Unique animal plush, encourages imaginative play.",27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,1521af28-d712-4868-bd20-df5a5c4d12a0
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,Sylvanian Families Sea Otter Family,Sylvanian Families,4,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Encourages imaginative play and storytelling. | Encourages imaginative play and storytelling.,27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,5a3bddd8-63cf-4af0-82a7-367b9f4a4dea
25-27m,25–27 months,25,27,true,color-and-shape-recognition,Shapes & colours,12,true,color-and-shape-recognition,Color and shape recognition,Beginning to identify and name colors and shapes in their environment.,animal-figures-playsets,Animal figures and playsets,Animal figures and playsets,3,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood.,Sylvanian Families Sunny Castle Nursery,Sylvanian Families,5,Animal figures support vocabulary building and pretend play scenarios throughout toddlerhood. | Product note: Encourages imaginative play and social development. | Encourages imaginative play and social development.,27,emerging,"Color recognition typically emerges around 30 months, making 27 months an early emerging stage for this skill.",,,de98fa95-c3e0-4830-a92d-5ef97f4bc4ba,85b9c463-4fe6-40b6-9639-8ca6743a2a7a,0ed87c39-af68-45f3-978e-911fdd8214ae,4bf3b12e-7c46-4ae4-9b48-ee839c2bc5f6
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",picture-books-board-books,Picture books and board books,Picture books and board books,3,Book sharing supports vocabulary growth and becomes more interactive with questions around age 2.,Igloo Books Noisy Farm 50 Sounds Kids Picture Book,Igloo Books,1,"Book sharing supports vocabulary growth and becomes more interactive with questions around age 2. | Product note: Discover 50 farm sounds in this exciting book, with lots of buttons to press and animals to meet. Colourful scenes with search-and-find activities inside. Children will learn to recognise animals and sounds. | Discover 50 farm sounds in this exciting book, with lots of buttons to press and animals to meet. Colourful scenes with search-and-find activities inside. Children will learn to recognise animals and sounds.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,1f556dbb-772f-48d3-b52d-755c809f04af,9cd865fe-f415-4864-ace5-5122dda7ac18
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",picture-books-board-books,Picture books and board books,Picture books and board books,3,Book sharing supports vocabulary growth and becomes more interactive with questions around age 2.,Oh Dear!: A lift-the-flap farm book,Rod Campbell,2,"Book sharing supports vocabulary growth and becomes more interactive with questions around age 2. | Product note: A classic lift-the-flap farmyard story with thick board pages and sturdy flaps, great for small hands and interactive reading. | A classic lift-the-flap farmyard story with thick board pages and sturdy flaps, great for small hands and interactive reading.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,1f556dbb-772f-48d3-b52d-755c809f04af,fc7f252d-6887-4843-baab-5a72790ef93d
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",picture-books-board-books,Picture books and board books,Picture books and board books,3,Book sharing supports vocabulary growth and becomes more interactive with questions around age 2.,The Gruffalo (Paperback),"Julia Donaldson, Axel Scheffler",3,"Book sharing supports vocabulary growth and becomes more interactive with questions around age 2. | Product note: An undisputed modern classic, this rhyming story of a mouse and a monster is perfect for engaging young children and fostering a love of reading. | An undisputed modern classic, this rhyming story of a mouse and a monster is perfect for engaging young children and fostering a love of reading.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,1f556dbb-772f-48d3-b52d-755c809f04af,f739bcf3-4549-4bef-bf32-c7de6adcbc43
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",picture-books-board-books,Picture books and board books,Picture books and board books,3,Book sharing supports vocabulary growth and becomes more interactive with questions around age 2.,Very Hungry Caterpillar Fold & Discover Tummy Time Book,Eric Carle (Rainbow Designs),4,"Book sharing supports vocabulary growth and becomes more interactive with questions around age 2. | Product note: Adorable, fabric book to help encourage and explore the bond between baby and parent through play. Suitable for 25-27 month olds due to sensory and interactive elements. | Adorable, fabric book to help encourage and explore the bond between baby and parent through play. Suitable for 25-27 month olds due to sensory and interactive elements.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,1f556dbb-772f-48d3-b52d-755c809f04af,555420fc-10e6-4fbd-877d-9e8316163ab8
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",play-dough-modeling-clay,Play dough and modeling clay,Play dough and modeling clay,3,Play dough supports hand strength and creative expression while offering calming sensory input.,DAS 1kg Modelling Clay: White,DAS,1,"Play dough supports hand strength and creative expression while offering calming sensory input. | Product note: Air-drying clay that is easy to smooth and shape, offering a different sensory experience to play dough. Suitable for all ages with supervision. | Air-drying clay that is easy to smooth and shape, offering a different sensory experience to play dough. Suitable for all ages with supervision.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,2cf133ce-6299-4ecd-8534-03da351b99e7,2d498be4-99db-429c-8317-5a864a2525d6
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",play-dough-modeling-clay,Play dough and modeling clay,Play dough and modeling clay,3,Play dough supports hand strength and creative expression while offering calming sensory input.,Neogrün Organic Play Dough - 2 Pack,Neogrün,2,"Play dough supports hand strength and creative expression while offering calming sensory input. | Product note: Made from organic, natural ingredients, making it a safe option for toddlers. Suitable for 2+ years. | Made from organic, natural ingredients, making it a safe option for toddlers. Suitable for 2+ years.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,2cf133ce-6299-4ecd-8534-03da351b99e7,a64489c0-fedb-4c74-9515-030be3b01015
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",play-dough-modeling-clay,Play dough and modeling clay,Play dough and modeling clay,3,Play dough supports hand strength and creative expression while offering calming sensory input.,"Play-Doh 24-Pack for Toddlers, Non-Toxic Modelling Compound Set",Play-Doh,3,"Play dough supports hand strength and creative expression while offering calming sensory input. | Product note: Suitable for 2+ years, non-toxic, and comes in a reusable storage tub. | Suitable for 2+ years, non-toxic, and comes in a reusable storage tub.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,2cf133ce-6299-4ecd-8534-03da351b99e7,d7830786-2c4f-4c35-b7e4-c260881a6afb
25-27m,25–27 months,25,27,true,emotional-regulation-and-self-awareness,Big feelings,2,true,emotional-regulation-and-self-awareness,Emotional regulation and self-awareness,"Experiencing and expressing a wide range of emotions, developing empathy, and beginning to understand own feelings.",play-dough-modeling-clay,Play dough and modeling clay,Play dough and modeling clay,3,Play dough supports hand strength and creative expression while offering calming sensory input.,Play-Doh Shape and Learn Colours and Shapes Set,Play-Doh,4,"Play dough supports hand strength and creative expression while offering calming sensory input. | Product note: Designed for learning colours and shapes, suitable for ages 2+. | Designed for learning colours and shapes, suitable for ages 2+.",26,emerging,Two-year-olds show broad emotional range but limited impulse control; empathy is emerging but self-regulation still developing.,,,e6baa2ab-c35d-4420-8136-d8ddbf9da787,d2638c0e-01a5-4a52-8db9-088ec44df573,2cf133ce-6299-4ecd-8534-03da351b99e7,cea2ea80-fe59-4249-84c8-9c8b80293b17
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",interactive-learning-toys,Interactive learning toys,Interactive learning toys,2,Interactive toys support emerging language and early learning concepts around age 2.,Learning Resources Spike The Fine Motor Hedgehog,Learning Resources,1,"Interactive toys support emerging language and early learning concepts around age 2. | Product note: Develops fine motor skills, hand-eye coordination, and grip control as children place and remove the peg-shaped quills. Also helps with color recognition and counting. | Develops fine motor skills, hand-eye coordination, and grip control as children place and remove the peg-shaped quills. Also helps with color recognition and counting.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,343dc6b3-08a9-47ce-a6a7-66306fb4773b,cd7f6fb6-7319-4dc5-ac4a-6c961d3e701b
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",interactive-learning-toys,Interactive learning toys,Interactive learning toys,2,Interactive toys support emerging language and early learning concepts around age 2.,Peaceable Kingdom Where's Bear? Game,Peaceable Kingdom,2,"Interactive toys support emerging language and early learning concepts around age 2. | Product note: Combines stacking blocks and finding hidden objects, promoting object permanence, problem-solving, spatial concepts, sorting, classifying, and matching. Encourages social-emotional skills. | Combines stacking blocks and finding hidden objects, promoting object permanence, problem-solving, spatial concepts, sorting, classifying, and matching. Encourages social-emotional skills.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,343dc6b3-08a9-47ce-a6a7-66306fb4773b,fd92a919-3bb4-4b5c-8425-d7b633320b4d
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",interactive-learning-toys,Interactive learning toys,Interactive learning toys,2,Interactive toys support emerging language and early learning concepts around age 2.,VTech Animal Discoveries Ball,VTech,3,"Interactive toys support emerging language and early learning concepts around age 2. | Product note: Interactive learning toy with lights, sounds, and phrases for multi-sensory stimulation. Fosters motor skills, sensory discovery, and early learning through play. | Interactive learning toy with lights, sounds, and phrases for multi-sensory stimulation. Fosters motor skills, sensory discovery, and early learning through play.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,343dc6b3-08a9-47ce-a6a7-66306fb4773b,0c48cbdd-30bf-44ab-8831-32bdec819d14
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",sorting-matching-toys,Sorting and matching toys,Sorting and matching toys,2,Sorting and matching skills emerge as color recognition begins around 27-30 months.,Fisher-Price Wooden Stack & Sort Animals 10 Piece Toy,Fisher-Price,1,"Sorting and matching skills emerge as color recognition begins around 27-30 months. | Product note: Develops fine motor skills, hand-eye coordination, and problem-solving through stacking and sorting. | Develops fine motor skills, hand-eye coordination, and problem-solving through stacking and sorting.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,36e74bc3-7eb5-45cf-b1e6-37fdfb86fdf0,3e63d3b6-677c-463d-8dfc-e252d83a1777
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",sorting-matching-toys,Sorting and matching toys,Sorting and matching toys,2,Sorting and matching skills emerge as color recognition begins around 27-30 months.,LeapFrog Shapes and Sharing Pink Picnic Basket,LeapFrog,2,"Sorting and matching skills emerge as color recognition begins around 27-30 months. | Product note: Teaches shapes, colors, manners, and more through interactive play and shape sorting. | Teaches shapes, colors, manners, and more through interactive play and shape sorting.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,36e74bc3-7eb5-45cf-b1e6-37fdfb86fdf0,824f316e-9fc6-409e-934a-4755e0c55ff6
25-27m,25–27 months,25,27,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,8,true,problem-solving-and-cognitive-skills,Problem-solving and cognitive skills,"Figuring out how things work, following simple instructions, and using tools or strategies to reach goals.",sorting-matching-toys,Sorting and matching toys,Sorting and matching toys,2,Sorting and matching skills emerge as color recognition begins around 27-30 months.,Locking Door – Wooden Matching Game,Wicked Uncle,3,"Sorting and matching skills emerge as color recognition begins around 27-30 months. | Product note: Helps with shape and color matching, fine motor skills, and problem-solving. | Helps with shape and color matching, fine motor skills, and problem-solving.",26,consolidating,At 24 months children use switches and buttons; by 30 months they follow two-step instructions and solve simple problems.,,,61474530-0e58-4a70-8bab-48d4071bdcfa,e7861d0f-7f1a-4cf3-a185-64aaf801805a,36e74bc3-7eb5-45cf-b1e6-37fdfb86fdf0,b325d067-c8ae-4661-9640-c66905c60cbd
